;m;m_unit;v;v_unit;p;p_unit;h;h_unit;T;T_unit;Td_bp;Td_bp_unit;vol;vol_unit;x;x_unit;s;s_unit;water;NH3
20;1.828155680798238;kg / s;0.0018593197574909134;m3 / s;2.0;bar;251.3315588548282;kJ / kg;59.99999999999034;C;-60.2100913279815;C;0.0010170467302210652;m3 / kg;-1.0;-;831.1972843701425;J / kgK;1.0;nan
21;1.828155680798238;kg / s;0.0018593168860293783;m3 / s;2.040608101214162;bar;251.3370655615889;kJ / kg;60.00050100314019;C;-60.84618788137186;C;0.0010170451595334234;m3 / kg;-1.0;-;831.2014166687592;J / kgK;1.0;nan
22;1.828155680798238;kg / s;0.0018937638193359284;m3 / s;2.0202020202020203;bar;377.1414132429258;kJ / kg;89.99999999999727;C;-30.52809668021638;C;0.0010358876102439173;m3 / kg;-1.0;-;1192.7695292322717;J / kgK;1.0;nan
23;1.828155680798238;kg / s;0.0018593197574909134;m3 / s;2.0;bar;251.3315588548282;kJ / kg;59.99999999999034;C;-60.2100913279815;C;0.0010170467302210652;m3 / kg;-1.0;-;831.1972843701425;J / kgK;1.0;nan
1;0.21783389492295765;kg / s;0.00046189998768565764;m3 / s;56.07509152343226;bar;831.8040193772906;kJ / kg;94.50032731716891;C;0.0;C;0.0021204229389967986;m3 / kg;-1.3978517426590392e-16;-;2972.7030924614805;J / kgK;nan;1.0
2;0.21783389492295765;kg / s;0.020760101873689783;m3 / s;4.973032815844895;bar;831.8040193772906;kJ / kg;4.000000000013074;C;0.0;C;0.09530244079339492;m3 / kg;0.3748546051193839;-;3237.6179898248834;J / kgK;nan;1.0
3;0.15130872917777222;kg / s;0.0002389748974575048;m3 / s;4.973032815844894;bar;364.2005113609649;kJ / kg;4.000000000013074;C;0.0;C;0.001579386058928126;m3 / kg;-8.562239081427288e-17;-;1550.4323213554508;J / kgK;nan;1.0
4;0.15130872917777222;kg / s;0.03428685506639152;m3 / s;4.973032815844895;bar;1486.884217169148;kJ / kg;4.000000000013074;C;0.0;C;0.2266019631035827;m3 / kg;0.9;-;5601.248506843922;J / kgK;nan;1.0
5;0.21783389492295765;kg / s;0.05480798204262381;m3 / s;4.973032815844895;bar;1611.6268511478354;kJ / kg;4.000000000013074;C;0.0;C;0.2516044716640999;m3 / kg;1.0000000000000004;-;6051.339194120419;J / kgK;nan;1.0
18;5.1606447312681745;kg / s;0.005166825490924706;m3 / s;1.023232323232323;bar;70.839666841051;kJ / kg;16.85358304643762;C;-83.39560869312288;C;0.0010011976719922382;m3 / kg;-1.0;-;251.29885514906044;J / kgK;1.0;nan
19;5.1606447312681745;kg / s;0.005161761680819903;m3 / s;1.013;bar;37.92287957120074;kJ / kg;9.00000000001313;C;-90.9673825497602;C;0.0010002164360481862;m3 / kg;-1.0;-;136.23179887552666;J / kgK;1.0;nan
6;0.21783389492295765;kg / s;0.057598054204322124;m3 / s;4.923302487686445;bar;1633.8379261557634;kJ / kg;12.07729321631075;C;8.354625616628425;C;0.2644127270675351;m3 / kg;-1.0;-;6134.906604385557;J / kgK;nan;1.0
7;0.21783389492295765;kg / s;0.024004458790111025;m3 / s;16.236852868868237;bar;1855.9829077760492;kJ / kg;117.97404542357714;C;76.39649710239064;C;0.1101961602376012;m3 / kg;-1.0;-;6251.051726362318;J / kgK;nan;1.0
8;0.21783389492295765;kg / s;0.01794199198011675;m3 / s;16.074484340179556;bar;1649.9957027572389;kJ / kg;45.21176867498633;C;4.0;C;0.08236547386926345;m3 / kg;-1.0;-;5670.140719245708;J / kgK;nan;1.0
9;0.21783389492295765;kg / s;0.006984534385542712;m3 / s;56.641506589325516;bar;1887.6081813700537;kJ / kg;165.30563784438272;C;70.3056378443859;C;0.03206357939848142;m3 / kg;-1.0;-;5780.363865697402;J / kgK;nan;1.0
0;0.21783389492295765;kg / s;0.006984534385542712;m3 / s;56.641506589325516;bar;1887.6081813700537;kJ / kg;165.30563784438272;C;70.3056378443859;C;0.03206357939848142;m3 / kg;-1.0;-;5780.363865697402;J / kgK;nan;1.0
11;5.1606447312681745;kg / s;0.005165280002952191;m3 / s;1.013;bar;63.076806868847534;kJ / kg;14.999999999855163;C;-84.96738254991817;C;0.0010008981962381428;m3 / kg;-1.0;-;224.44832842072532;J / kgK;1.0;nan
12;5.1606447312681745;kg / s;0.005165270238784291;m3 / s;1.054661227821401;bar;63.08236668210346;kJ / kg;15.000375127508676;C;-86.10005569220186;C;0.0010008963041939491;m3 / kg;-1.0;-;224.45315212898188;J / kgK;1.0;nan
13;0.7151668211430434;kg / s;0.0007158078281642072;m3 / s;1.054661227821401;bar;63.08236668210346;kJ / kg;15.000375127508676;C;-86.10005569220186;C;0.0010008963041939491;m3 / kg;-1.0;-;224.45315212898188;J / kgK;1.0;nan
14;0.7151668211430434;kg / s;0.0007182911292582343;m3 / s;1.0335680032649728;bar;125.82436455866107;kJ / kg;29.99999999999784;C;-70.53148889900535;C;0.0010043686424241513;m3 / kg;-1.0;-;436.7246636674705;J / kgK;1.0;nan
15;4.445477910125131;kg / s;0.004449462410620084;m3 / s;1.054661227821401;bar;63.08236668210346;kJ / kg;15.000375127508676;C;-86.10005569220186;C;0.0010008963041939491;m3 / kg;-1.0;-;224.45315212898188;J / kgK;1.0;nan
16;4.445477910125131;kg / s;0.004449467120247828;m3 / s;1.0335680032649728;bar;63.08236668210346;kJ / kg;15.000857272781104;C;-85.53063162622209;C;0.0010008973636138447;m3 / kg;-1.0;-;224.46047890174026;J / kgK;1.0;nan
17;5.1606447312681745;kg / s;0.005167023655095919;m3 / s;1.0335680032649728;bar;71.77720957676534;kJ / kg;17.077293216333032;C;-83.45419568267016;C;0.001001236071103499;m3 / kg;-1.0;-;254.5269079736002;J / kgK;1.0;nan
